,"сельское, лесное хозяйство, охота, рыболовство и рыбоводство",добыча полезных ископаемых,обрабатывающие производства,"обеспечение электрической энергией, газом и паром; кондиционирование воздуха","водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",строительство,торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,транспортировка и хранение,деятельность гостиниц и предприятий общественного питания,деятельность в области информации и связи,деятельность финансовая и страховая,деятельность по операциям с недвижимым имуществом,"деятельность профессиональная, научная и техническая",деятельность административная и сопутствующие дополнительные услуги,государственное управление и обеспечение военной безопасности; социальное обеспечение,образование,деятельность в области здравоохранения и социальных услуг,"деятельность в области культуры, спорта, организации досуга и развлечений",предоставление прочих видов услуг
Белгородская область,"270,2","501,1",723,"71,3","12,7","44,5",520,"11,3","2,8","7,4","2,6","4,8","1,7","0,1","0,1","0,1","0,9","0,1","0,1"
Брянская область,"103,6","0,1","207,6","24,7","11,2","37,5",105,47,"0,4","0,6","2,8",1,"0,3","0,1","0,1","0,1","0,7","0,1","0,2"
Владимирская область,"16,3","2,1","712,1","61,8","4,6","2,6","233,7","20,4","1,5","2,3","4,9","13,6","0,8","0,1","0,1","0,1","1,9","0,1","0,2"
Воронежская область,153,"7,5","525,1","115,5","10,3","34,6","492,6","38,8","0,9","8,3","12,5","54,3","7,8","0,1","0,1","0,1","4,7","0,1","0,4"
Ивановская область,"3,4","0,1","147,6","24,4","3,5","10,6","36,6","0,8","0,4","0,1","1,6",3,"0,5","0,1","0,1","0,1","0,6","0,1","0,4"
Калужская область,"29,4","1,4",1192,"53,5",6,23,223,"15,6","0,4","2,6","8,9","18,6","2,9","0,1","0,1","0,1","0,5","0,1","0,1"
Костромская область,"8,4","0,1","136,5","30,1","2,3","8,2","0,1","1,1","0,1","1,5","1,1","0,5","1,1","0,1","0,1","0,1","0,8","0,1","0,1"
Курская область,"175,1","0,1","204,6","57,9","6,5","20,1","144,5","5,3",2,"0,1","6,4","0,4",1,"0,1","0,1","0,1","0,8","0,1","0,1"
Липецкая область,"210,1","4,1",1111,"58,1","10,8","12,6","132,3","6,9","0,2","7,2","16,9","3,9",7,"0,1","0,1","0,1","1,1","0,1","0,1"
Московская область,"66,6",10,"3888,4","745,7","97,6","382,3","9365,5","862,9","34,8","57,9","277,9","441,8","80,8",1,"0,1","2,7","27,1","3,2","5,9"
Орловская область,"69,1","0,2","126,1","24,2","7,5","6,3","132,3","2,1","0,2","0,1","0,6","0,1","0,5","0,1","0,1","0,1","0,1","0,1","0,1"
Рязанская область,42,"0,7","454,4","47,4","2,8","7,9","211,3","7,3","0,1","0,3","5,2","6,6","0,2","0,1","0,1","0,1","0,4","0,5","0,1"
Смоленская область,"7,8","0,8","233,8","16,8","15,9","9,5","222,2","32,3","0,2","0,2","3,2","2,3",6,"0,1","0,1","0,1","0,1","0,1","0,1"
Тамбовская область,"147,1","0,1",169,"33,4",2,"12,5","153,6","4,8","0,9","0,3","1,1","5,8","2,3","0,1","0,1","0,1","0,1","0,1","0,1"
Тверская область,"25,7","0,1","321,6","30,3","5,1","15,4","243,9","18,7","1,9","1,4","4,3","4,2","4,2","0,1","0,1","0,1","1,2","0,1","0,3"
Тульская область,"48,1",15,"1033,8","125,6","19,3","25,6","213,9","5,9","0,5","2,3","3,4","2,4","4,5","0,1","0,1","0,1","1,6","0,1","0,2"
