,всего предприятий и организаций,"сельское, лесное хозяйство, охота, рыболовство и рыбоводство",добыча полезных ископаемых,обрабатывающие производства,"обеспечение электрической энергией, газом и паром; кондиционирование воздуха","водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",строительство,торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,транспортировка и хранение,деятельность гостиниц и предприятий общественного питания,деятельность в области информации и связи,деятельность финансовая и страховая,деятельность по операциям с недвижимым имуществом,"деятельность профессиональная, научная и техническая",деятельность административная и сопутствующие дополнительные услуги,государственное управление и обеспечение военной безопасности; социальное обеспечение,образование,деятельность в области здравоохранения и социальных услуг,"деятельность в области культуры, спорта, организации досуга и развлечений",предоставление прочих видов услуг
Белгородская область,27528,950,49,2520,95,131,3470,7338,1928,453,670,364,1586,1852,862,971,1375,643,572,1699
Брянская область,15554,617,51,1334,87,135,1436,3762,913,351,418,124,1216,886,437,963,1124,408,313,979
Владимирская область,26076,1052,111,2968,234,220,2160,5262,996,661,612,449,3935,1658,780,817,1161,762,755,1481
Воронежская область,43802,1232,101,3352,299,346,5550,12664,2518,681,1020,506,3242,3417,1549,1362,1829,923,1004,2206
Ивановская область,24866,640,24,3097,265,250,2799,7028,1357,425,487,268,2070,1578,790,608,917,451,473,1339
Калужская область,22082,1072,154,2522,143,169,2404,4013,1112,496,587,260,2796,1427,737,1061,888,518,490,1232
Костромская область,13235,685,34,1463,120,102,1398,2485,757,280,274,205,1222,786,367,634,786,369,491,775
Курская область,18818,714,42,1318,86,200,2113,4085,1139,276,450,226,1357,1123,642,1023,1131,708,926,1258
Липецкая область,18884,690,52,1586,64,149,2649,4410,951,386,380,509,1066,1342,704,790,997,470,520,1166
Московская область,188323,4210,390,17706,1073,1205,20682,46457,11318,4430,4981,2427,29413,13834,7541,1680,4507,4630,3849,7972
Орловская область,12097,555,47,1037,85,108,1311,2796,559,193,293,130,838,745,356,818,759,341,318,807
Рязанская область,23381,714,94,2260,120,254,2881,5764,1166,464,509,257,2125,1483,689,1039,996,565,432,1569
Смоленская область,24211,1200,117,1851,115,202,2749,7688,2156,438,556,226,1166,1322,599,732,967,546,498,1081
Тамбовская область,14114,835,20,996,74,146,1392,3274,540,304,359,138,1073,928,337,936,951,423,473,915
Тверская область,27895,1326,102,2484,325,258,2858,5672,1651,732,686,334,3227,1880,983,1132,1321,761,634,1528
Тульская область,25721,1352,108,2612,154,228,2964,5819,1355,599,677,327,2648,1812,912,577,1117,585,483,1392
Ярославская область,32849,1016,91,3009,179,241,4519,8224,1880,713,799,374,3467,2218,1247,588,1217,643,730,1690
г. Москва,569398,2230,1387,33494,1402,2033,67396,170886,26042,14994,34052,17330,40803,77004,29206,2190,6732,11458,10582,20096
Республика Карелия,17372,751,281,1219,140,136,1841,3588,1626,619,355,168,1805,981,697,515,556,277,443,1359
Республика Коми,14143,500,182,653,90,94,1369,2725,1058,477,347,167,1555,926,425,791,883,477,405,1019
Архангельская область,17772,549,58,1106,236,172,1792,3192,1487,638,397,275,2158,1123,566,804,853,538,541,1287
Вологодская область,33554,1264,82,2426,202,240,5834,7884,3045,599,604,543,2907,2046,1132,895,1054,609,834,1335
Калининградская область,34722,827,87,3068,135,191,4307,9798,3022,995,888,387,2993,2458,1319,434,790,788,601,1627
Ленинградская область,32041,1269,157,3021,216,294,3199,5427,2028,807,590,268,6546,1880,1072,743,1104,784,836,1795
Мурманская область,13779,430,48,748,110,125,1239,2936,1144,611,319,180,1505,927,601,494,695,326,406,933
Новгородская область,11445,592,92,1130,85,114,1230,2195,511,358,245,206,1067,725,341,612,534,289,348,771
Псковская область,11787,756,52,1083,76,61,1226,2712,870,338,274,102,859,678,359,474,474,237,281,872
г. Санкт-Петербург,226342,785,295,18630,686,836,29964,63782,14205,7489,9452,3836,20461,23530,11398,1205,3885,4847,4057,6863
Республика Адыгея,6059,371,79,552,38,61,595,1088,232,149,123,97,404,380,280,340,399,235,188,446
Республика Калмыкия,3697,245,14,122,14,39,316,622,99,89,82,49,139,217,115,466,377,195,110,387
Республика Крым,31418,1416,239,1722,128,249,3203,5548,1109,1918,629,301,4741,2041,1014,1083,1381,1134,667,2893
Краснодарский край,107721,3530,407,7166,595,772,13191,26386,6368,4530,2509,1445,8728,9136,4160,3075,4355,3564,2703,5093
Астраханская область,12916,954,48,806,81,113,1172,2668,740,412,282,206,1274,872,480,608,634,418,263,883
Волгоградская область,33715,1289,89,2253,217,529,2982,7226,1677,782,778,487,3042,2754,1516,1769,1856,984,1040,2442
Ростовская область,70966,2385,291,5659,378,432,6757,19568,4266,1719,1829,1059,6581,5549,2093,2463,3379,1807,1357,3390
г. Севастополь,11225,215,20,717,35,74,1405,2161,393,579,269,143,1987,896,414,129,274,354,275,885
Республика Дагестан,29141,3189,224,1585,175,207,4095,4546,953,444,619,420,1032,1304,708,1887,3235,1176,1031,2305
Республика Ингушетия,5326,318,28,456,19,50,1120,1222,126,44,115,111,87,213,178,234,361,209,163,272
Кабардино-Балкарская Республика,9943,965,58,897,65,141,980,1998,298,258,168,142,582,511,250,479,555,396,325,875
Карачаево-Черкесская Республика,5690,406,75,452,43,62,564,938,190,191,107,75,269,305,171,389,472,213,111,657
Республика Северная Осетия – Алания,8814,742,69,740,94,69,861,1586,316,208,209,155,568,484,290,445,589,412,292,683
Чеченская Республика,9511,1086,39,385,28,45,1527,1907,244,88,194,185,264,401,199,582,1319,365,252,400
Ставропольский край,34427,1838,112,2464,229,212,3234,7908,1314,814,801,443,3058,2577,1163,1386,2283,1557,866,2166
Республика Башкортостан,73496,2343,576,5804,365,533,11144,17509,3252,1637,1561,1044,4815,5718,2616,2764,3763,1965,1285,4792
Республика Марий Эл,11085,361,36,1360,112,107,1018,2582,507,313,307,150,886,612,285,500,697,280,313,659
Республика Мордовия,12776,463,25,741,92,80,1077,2184,448,177,247,186,1362,780,343,847,783,835,886,1218
Республика Татарстан,103124,1772,505,8558,405,614,15247,26561,5700,1938,3114,1743,7107,8114,4090,3364,4589,2416,2023,5219
Удмуртская Республика,32729,712,188,3139,218,185,4032,8611,1614,665,813,367,2550,2592,1172,1276,1607,644,594,1748
Чувашская Республика,20124,571,35,2051,159,114,2371,4610,988,559,458,274,1812,1477,529,1020,1004,487,404,1201
Пермский край,52960,1288,252,4134,398,449,6190,12432,3426,1188,1543,785,6802,4211,1896,1125,1550,1269,1212,2802
Кировская область,27452,1240,78,2719,315,222,2329,6174,2434,673,477,389,2867,1467,789,1305,1369,472,773,1359
Нижегородская область,73419,1536,123,6806,520,482,8031,20743,4143,1587,1803,919,6845,5919,3006,1452,2864,2010,1321,3306
Оренбургская область,29069,2152,340,1822,271,340,2979,5810,2077,469,605,361,2259,1937,967,1185,2086,859,632,1917
Пензенская область,21649,717,58,2091,142,323,2005,4615,1287,397,530,284,2057,1364,564,1077,1382,581,603,1571
